aabq	傲岸不羣
aryd	愛人以德
aryl	傲然屹立
arvb	愛如珍寶
hrzd	昂然自得
arzr	安然自若
hrvr	昂然直入
hrzr	昂然自若
auaj	礙手礙腳
aubf	安守本分
asbj	阿塞拜疆
aubq	暗室不欺
aubu	愛說不說
auiu	安時處順
audp	安神定魄
asds	捱三頂四
asdw	挨三頂五\t捱三頂五
audx	傲霜鬥雪
aufd	暗室逢燈
aufy	安生服業
ashg	愛素好古
ashv	哀絲豪竹
asjm	愛斯基摩
hukb	昂首闊步
aukx	暗室虧心
auli	安室利處
aulm	安身立命
auly	安身樂業\t安生樂業
asml	阿斯馬拉
auny	愛沙尼亞
aspl	阿司匹林
asqb	暗送秋波
auqs	阿時趨俗
auqw	暗室求物\t傲世輕物\t敖世輕物
auqx	傲視羣雄\t暗室欺心
asri	哀思如潮
auri	安適如常
aush	挨山塞海
huum	昂首伸眉\t海誓山盟
ausx	暗室私心
astn	阿斯塔納
autq	唉聲嘆氣\t哀聲嘆氣\t噯聲嘆氣
hutw	昂首天外
hutx	昂首挺胸\t韓壽偷香
auwl	安身爲樂\t暗室屋漏
auws	愛生惡死
huwt	昂首望天
auvi	安身之處
auvd	安身之地
auvl	安史之亂
auvs	安身之所
atan	傲頭傲腦
atbp	凹凸不平
atdv	鰲頭獨佔
atjd	哀天叫地
htkb	昂頭闊步
atkq	暗通款曲
atly	安土樂業
atsj	按圖索驥\t按圖索駿
httw	昂頭天外
httx	昂頭挺胸
atvq	安土重遷
atyj	哀痛欲絕
atyv	凹凸有致
atvj	安土重舊\t安土重居
avew	安枕而臥
avff	安知非福
avfh	安知非禍
avml	安裝目錄
avms	暗中摸索
avrs	安之若素
avwy	安枕無憂
awaw	安慰安慰
awjw	愛屋及烏
awld	案無留牘
awtr	暗無天日
awxy	安危相易
awyg	安危與共
axbx	愛信不信
axcz	暗箱操作
axdv	安心定志
axfl	熬心費力
axfp	按需分配
axjl	愛新覺羅
axjx	暗下決心
axlu	傲雪凌霜
axly	安心樂意\t安心樂業\t安心落意
axmu	傲賢慢士
axqu	傲雪欺霜
hxsh	昂霄聳壑
axuy	暗香疏影
axwn	安享晚年
axym	愛惜羽毛
axzd	安閒自得\t遨翔自得
axzy	按行自抑
axzz	安閒自在
ayfh	熬油費火
aygs	安於故俗
ayjk	聱牙戟口
ayjq	聱牙佶屈\t聱牙詰曲\t聱牙詰屈
aypu	安於盤石
ayst	愛因斯坦
ayvv	安營紮寨
hyxj	盎盂相擊
hyxq	盎盂相敲\t好言相勸
ayxv	安於現狀\t安營下寨
ayyl	奧援有靈
ayyy	安於一隅
azau	礙足礙手
azdb	安坐待斃
azfm	愛憎分明
azgi	矮子觀場
avjq	鰲擲鯨呿
avjt	鰲擲鯨吞
azkx	矮子看戲
azpc	腌臢潑才
azqx	暗自慶幸
avrm	安之若命
azzd	愛咋咋地
avvl	安宅正路
bail	不按常理
bael	北愛爾蘭
bahx	不安好心
baqu	不安其室
bayu	不安於室
bayw	不安於位
bbbk	不卑不亢
bbbq	百病不侵
bbby	褒貶不一
bbiu	百病纏身
bbcu	百弊叢生
bbiy	百步穿楊
bbiv	蚌病成珠
bbdd	斑斑點點
bbdg	步步登高
bbdj	並不多見
bbdl	不必多禮
bbdn	百般刁難
bbds	巴巴多斯
bbdt	包辦代替
bbdv	不必當真
bbdy	逼不得已
bbfi	百般奉承
bbfu	報本反始
bbfw	百般撫慰
bbfy	不避斧鉞
bbgh	八百孤寒
bbgu	步步高昇\t報冰公事
bbhh	比比劃劃
bbhy	包辦婚姻
bbjb	步步緊逼
bbjj	白白淨淨\t巴巴急急\t巴巴劫劫\t巴巴結結
bbjl	變本加厲
bbju	比比皆是\t半壁江山
bbjv	標本兼治
bbjx	步步驚心
bbkq	必不可缺
bbku	必不可少
bblf	白白浪費
bblh	步步蓮花
bbll	冰冰涼涼\t斑駁陸離
bbly	半部論語
bbmh	筆飽墨酣
bbmm	爸爸媽媽
bbms	抱布貿絲
bbnb	必不撓北
bbnf	別不耐煩
bbnn	白白嫩嫩
bbpp	白白胖胖
bbqg	彪炳千古
bbql	跛鱉千里
bbqm	背本趨末
bbqw	不變其文
bbqy	白璧青蠅
bbrl	把臂入林
bbrw	並不認爲
bbry	並不容易
bbuc	彪炳史冊
bbuj	勃勃生機
bbul	步步生蓮
bbum	幫不上忙\t不辨菽麥
bbuu	並不是說
bbus	布帛菽粟
bbsx	白璧三獻
bbsy	拔本塞源\t百不隨一
bbuy	百不失一
bbtt	蹦蹦跳跳
bbvd	並不知道
bbvj	八拜之交
bbvm	百般折磨
bbvw	不辨真僞
bbvy	不白之冤
bbwi	卑鄙無恥\t卑鄙齷齪
bbwn	被逼無奈
bbwq	並不完全\t布被瓦器
bbww	病病歪歪
bbwx	白璧微瑕\t白璧無瑕
bbwy	步步爲營
bbxr	兵不血刃
bbxy	並不需要
bbyc	百不一存
bbyd	並不一定
bbyf	飽飽眼福
bbyj	兵不由將
bbyl	彬彬有禮
bbyv	兵不厭詐
bbyw	並不意外
bbyx	不必言謝
bbzn	百般阻撓
bbzu	悲不自勝
bbvu	秉筆直書
bbzy	不必在意
bbvv	不拔之志\t白白朱朱
bibc	不瞅不睬
bibd	把持不定
bibf	不茶不飯
bibj	罷黜百家\t匕鬯不驚
bibl	不癡不聾
bibn	不吵不鬧\t半籌不納
biby	百喫不厭
bibv	把持不住
bich	彼倡此和
bciq	拔萃出羣
biit	悲愁垂涕
bidq	必成大器
bidu	搬脣遞舌
bceb	不辭而別
bcfy	不測風雲
bify	不成方圓
bigh	百川歸海
bcgm	本草綱目
bigt	百尺竿頭
bihf	不差毫髮
bihl	不差毫釐
bchx	包藏禍心
bchy	白草黃雲
bcjd	不存芥蒂
bijf	剝牀及膚
bijk	備嘗艱苦
bijy	不成敬意\t背城借一
bijv	別出機杼
bckr	病從口入
bclk	不辭勞苦
bill	八窗玲瓏
bilm	弊車羸馬
bilu	不差累黍
bcmb	百辭莫辯
bimj	鞭長莫及
bimm	不揣冒昧
biqm	白齒青眉
bcqu	便辭巧說
biqw	不成其爲
biqy	薄脣輕言
biqv	必承其重
bisl	不出所料
bcsm	蔽聰塞明
bcuq	抱殘守缺
biuq	悲春傷秋
bisw	不成三瓦
biux	不差上下
biuv	抱誠守真
bitt	不成體統
bity	不啻天淵
bcwa	辯才無礙
bcwn	博茨瓦納
biwt	不成問題
bixc	別出心裁
bixh	報仇雪恨
bixk	備嘗辛苦
bcxu	撥草尋蛇
bixw	不恥下問
bcyd	飽餐一頓
biyr	不齒於人
biyt	抱成一團
biyw	不出意外
biyv	背城一戰
bcvb	卑辭重幣
bcvi	博採衆長
bizg	卑諂足恭
bizh	不恥最後
bivh	兵車之會
bivm	不傳之祕
bcvq	不次之遷
bivt	不逞之徒
bivx	不臣之心
bdan	不得安寧
bdbf	不得不服
bdbl	寶刀不老
bdbq	百毒不侵
bdbx	不大不小
bdby	百讀不厭
bdix	拔丁抽楔
bddj	百端待舉
bddy	不登大雅
bdei	背道而馳
bdej	倍道而進
bdeq	拔地而起
bdev	不得而知
bdfr	並蒂芙蓉
bdgk	百代過客
bdhs	不得好死
bdhx	霸道橫行
bdhz	白底黑字
bdjg	兵多將廣
bdju	博大精深
bdjw	不懂就問
bdjz	百堵皆作
bdkh	遍地開花
bdkn	不大可能
bdkt	北達科他
bdky	不打誑語
bdlf	備多力分
bdlg	布達拉宮
bdll	不得了了
bdmd	不達目的
bdnl	表達能力
bdps	布達佩斯
bdqf	不得其法
bdqs	不得其所
bdqx	北斗七星
bdri	筆大如椽
bdru	不動如山
bdrx	不得人心\t敗德辱行
bdrz	不當人子
bdsi	冰凍三尺
bdug	不待蓍龜
bdsk	白丁俗客
bdus	不動聲色
bduv	不得善終
bdti	拔得頭籌
bdtg	不斷提高
bdvd	不懂裝懂
bdwe	伯道無兒
bdwl	寶刀未老
bdwz	百代文宗
bdxv	拔刀相助
bdxy	北大西洋
bdyl	弊大於利\t不得要領
bdym	拜倒轅門
bdys	笨得要死
bdyu	拔地搖山
bdyt	拔地倚天
bdyv	步調一致
bdyw	不得有誤
bdyy	棒打鴛鴦
bdvb	兵多者敗
bdvc	八斗之才
bdvr	北道主人
bdzv	不打自招
bdvz	北斗之尊
bebd	避而不答
bebj	避而不見\t博而不精
bebt	避而不談
beby	備而不用
befm	不二法門
befz	不二法則
begy	博而寡要
bels	白俄羅斯
besu	拜恩私室
bevk	巴爾扎克
bevx	不二之選
bewy	背恩忘義
bfbc	不分彼此
bfbf	不悱不發
bfbq	不憤不啓
bfbu	不豐不殺
bfbv	百發百中
bfcc	白髮蒼蒼
bfik	不法常可
bfcu	不負此生
bfiu	抱法處勢
bfcy	白髮蒼顏
bfcz	不復存在
bfdj	百廢待舉
bfdn	不復當年
bfdx	百廢待興
bffy	八方風雨
bffz	不法分子
bfgx	不分高下
bfhy	八方呼應\t白髮紅顏\t別風淮雨
bfjh	不廢江河
bfjj	把飯叫饑
bfju	百夫決拾
bfjx	百廢俱興
bfjy	暴風疾雨
bfku	白費口舌
bfll	兵分兩路
bflq	白費力氣
bfqi	白飯青芻
bfqr	不乏其人
bfqu	白髮青衫
bfqv	不分輕重\t白髮千丈
bfuh	不負韶華
bfum	不伏燒埋
bfst	不負所托
bfut	不服水土
bfty	悲憤填膺
bfvb	百分之百
bfvt	不法之徒\t剝膚之痛
bfvw	不負衆望
bfvy	百分之一\t暴風驟雨\t捕風捉影\t不分畛域\t八方支援
bfwb	變廢爲寶
bfwr	抃風舞潤
bfwx	變法維新
bfwy	布帆無恙
bfxa	八府巡按
bfxj	白費心機
bfxl	不乏先例
bfxv	不分軒輊
bfxw	不法行爲
bfyu	並非易事
bfyv	筆鋒一轉
bfyy	不發一言
bfzb	不分皁白
bfvi	八方支持
bfvl	北風之戀
bfzr	不負責任
bfzv	不扶自直
bgam	保國安民
bgbi	筆耕不輟
bgbd	半工半讀
bgbg	不管不顧\t不尷不尬
bgbj	不乾不淨\t必恭必敬\t畢恭畢敬\t不古不今
bgbl	包工包料\t秉公辦理
bgbw	不管不問
bgcf	不甘雌伏
bgdt	不共戴天
bgdy	半個多月
bgeb	不告而別
bgee	不過爾爾
bgeq	不告而取
bggl	不敢告勞
bggp	不敢高攀
bggt	不敢苟同
bghr	不甘後人
bghw	不敢或忘
bgjc	杯觥交錯
bgjj	百感交集
bgjm	不甘寂寞
bgjt	抱關擊柝
bgjw	伯歌季舞
bgjy	不關緊要
bglh	不甘落後
bglj	八國聯軍
bgll	波光粼粼
bglm	不敢掠美\t布鼓雷門
bgly	傍觀冷眼
bgpw	不敢旁騖
bgql	不改其樂
bgqs	閉關卻掃
bgqx	卑躬屈膝
bgrc	不過如此
bgsg	閉關鎖國
bguj	半個世紀
bgur	不甘示弱
bgus	兵貴神速
bguu	八公山上
bgst	敝鼓喪豚
bguy	杯弓蛇影\t補過拾遺
bguv	不敢擅專
bgtj	博古通今
bgty	不關痛癢
bgvf	秉公執法
bgvl	百舸爭流\t病骨支離\t不根之論
bgvt	半個鐘頭\t不軌之徒
bgvy	悲觀主義
bgwj	不敢問津
bgwu	別跟我說\t巴高望上
bgws	秉公無私
bgwx	報告文學
bgwy	不敢妄言
bgxq	不感興趣
bgxu	半個小時\t兵貴先聲
bgxx	不敢相信
bgyi	變古易常
bgye	北宮嬰兒
bgyq	不顧一切
bgys	不夠意思
bgyu	稗官野史
bgyt	筆耕硯田
bgyx	不苟言笑
bgzc	不敢造次
bgvd	白圭之玷
bgve	巴高枝兒
bgzp	不攻自破
bgvp	敗鼓之皮
bgzu	閉關自守
bhbh	不哼不哈
bhbl	陂湖稟量
bhiu	幫虎喫食
bhdd	變化多端
bhdu	閉戶讀書
bhel	不寒而慄
bhes	不歡而散
bhfm	白黑分明
bhgl	別鶴孤鸞
bhgr	白虹貫日
bhhq	抱恨黃泉
bhjf	避禍就福
bhjl	避害就利
bhlh	悲歡離合
bhmc	變化莫測\t變幻莫測
bhml	兵荒馬亂
bhph	暴虎馮河
bhqf	百花齊放
bhqp	百卉千葩
bhqt	碧海青天
bhqy	冰壺秋月
bhsl	傍花隨柳
bhur	百花生日
bhuy	不合時宜
bhtg	八紘同軌
bhwi	變化無常\t變幻無常
bhwq	變化無窮
bhxp	冰魂雪魄
bhyu	冰寒於水
bhvm	不諱之門
bhvn	不惑之年
bhvr	薄寒中人
bhvt	抱恨終天
bhvw	八荒之外
bhvy	白華之怨
bhzz	跋扈自恣
bjbf	不矜不伐
bjbg	不今不古
bjbh	包教包會
bjbj	半間不界
bjbl	半斤八兩\t搬斤播兩\t不即不離
bjbq	百舉百全\t比肩並起
bjbs	不見不散\t不稼不穡
bjbx	不疾不徐
bjbz	不驕不躁
bjia	把酒持螯
bjib	邊際成本
bjcs	飽經滄桑
bjdg	班荊道故
bjdj	不計代價
bjdl	不記得了
bjdn	不減當年
bjdu	冰解凍釋
bjdv	八九點鐘\t飆舉電至
bjdx	北京大學
bjeh	貝加爾湖
bjel	比肩而立
bjeu	不教而殺
bjev	不教而誅
bjey	比較而言
bjez	不脛而走
bjfi	別具肺腸
bjfh	拜將封侯
bjfl	擘肌分理
bjfq	不解風情\t弊絕風清
bjfu	飽經風霜
bjft	不進反退
bjgd	苞苴竿牘
bjgm	杯酒戈矛
bjgr	八九個人
bjgx	白駒過隙
bjgy	八九個月
bjhg	不計後果
bjhh	保駕護航
bjhy	別具慧眼
bjjm	八街九陌
bjjv	比肩接踵\t比肩繼踵\t不見經傳
bjjw	不咎既往
bjjx	別具匠心
bjjy	不覺技癢
bjkg	白駒空谷
bjlx	背井離鄉
bjly	保加利亞
bjlz	兵精糧足
bjmz	不講面子
bjny	不拘泥於
bjqj	百金求間
bjql	不近情理
bjqq	並駕齊驅
bjqu	不計其數\t比肩齊聲
bjqx	不計前嫌
bjqy	不及其餘
bjrc	不僅如此
bjrl	不絕如縷
bjrq	不近人情
bjrt	半截入土
bjry	不盡人意
bjsc	悲劇色彩
bjsl	不見森林
bjus	八九十歲
bjss	不假思索
bjst	巴基斯坦
bjtr	不見天日
bjtu	不見泰山
bjvc	不羈之才
bjvd	必經之地
bjvj	敗軍之將\t不教之教
bjvl	必經之路
bjvm	百家爭鳴\t不羈之民
bjvt	不經之談
bjvy	不解之緣\t別具隻眼
bjwd	不講武德
bjwg	保家衛國
bjwm	不盡完美
bjwy	彼竭我盈
bjxi	冰肌雪腸
bjxj	不拘小節
bjxl	補苴罅漏
bjxm	保境息民
bjxt	不盡相同
bjyd	敗局已定
bjye	不絕於耳
bjyf	八九月份
bjyg	別具一格\t冰肌玉骨\t波譎雲詭\t不拘一格
bjyh	不久以後\t杯酒言歡
bjyn	包舉宇內
bjyq	不講義氣
bjyu	不經一事
bjyx	不見輿薪
bjvf	不及之法
pjvr	被堅執銳\t披堅執銳
bjzu	薄技在身
bjzt	不進則退
bjzv	並肩作戰
bjvw	不急之務
bkbb	不亢不卑
bkbf	不可不防
bkbt	閉口不談
bkbv	不可不知
bkby	百看不厭\t閉口不言
bkbz	不愧不作
bkcu	閉口藏舌
bkit	鼻孔朝天
bkdd	不可多得
bkdn	不可端倪
bkdy	不可動搖
bkdz	拔葵啖棗
bkev	不可遏制
bkfr	不可否認
bkgb	不可改變
bkgl	不可估量
bkgr	不可告人
bkhq	不可或缺
bkhu	不堪回首
bkjd	不可兼得
bkjj	不可究詰
bkjx	不可教訓
bkjy	不可救藥
bkkd	不可揆度
bkkj	不可開交
bkkl	不可抗力
bklj	避坑落井
bkly	不可理喻
bkmb	百口莫辯
bkmm	不可磨滅\t播糠眯目
bkmv	不可名狀
bknb	不可能吧
bknd	不可能的
bknv	不可逆轉
bkpf	不可偏廢
bkqi	百孔千瘡
bkqf	不可侵犯
bkqj	不可企及
bkqu	不可缺少
bkqx	不可全信
bkqy	不堪其憂
bkqv	拔葵去織
bkre	不堪入耳
bkrm	不堪入目
bkrx	碧空如洗
bkry	賓客如雲
bkum	別開生面
bkuu	不可勝數\t不可收拾
bkux	不堪設想
bksy	不可思議
bkuy	不可勝言
bktx	不可推卸
bkvl	不可知論\t不刊之論
bkvm	不可捉摸
bkvr	不可終日
bkvx	不可置信
bkwl	不愧屋漏
bkwy	不可外揚
bkxd	不可懈怠
bkxe	不可向邇
bkxl	不可限量
bkxq	不可小覷
bkxu	不可小視
bkxx	不可想象
bkyi	不可言傳
bkyd	不可以的
bkyg	不快也光
bkyj	不堪一擊
bkym	不可以嗎
bkyu	不可一世
bkyv	不可言狀\t不堪言狀
bkyx	不可言宣
bkyy	不可逾越\t不可言喻\t不可移易
bkzc	不可造次
bkzj	不堪造就
bkzu	不可再生
blbc	不理不睬
blbj	波瀾不驚
blbl	不倫不類\t百伶百俐
blbq	不離不棄
blbr	不冷不熱
blbw	拔來報往
blbx	奔流不息\t不郎不秀
blby	表裏不一\t不稂不莠
blig	百鍊成鋼
blih	鬢亂釵橫
blch	敗柳殘花
blij	半路出家
blcj	不吝賜教\t敗鱗殘甲
blil	必裏遲離
bliq	拔類超羣
blcu	比類從事
blix	兵臨城下
bldh	波羅的海
bldx	薄利多銷
bleh	不勞而獲
blej	比鄰而居
blfl	別浪費了
blfm	不露鋒芒\t鄙吝復萌
blft	不劣方頭
blfv	撥亂反正
blfy	不良反應
blgj	不露圭角
blhb	卑禮厚幣
blhj	不留痕跡\t兵連禍結
blhq	碧落黃泉
bljd	兵來將擋
bljj	瀕臨絕境
bljl	不良記錄
bljn	步履艱難
blju	本來就是
blkf	暴力抗法
blkj	不落窠臼
blli	波瀾老成
blll	篳路藍縷
bllv	不了了之
blmj	白蠟明經
blmm	本來面目
blmu	百齡眉壽
blmv	擺龍門陣
blpu	步履蹣跚
blqd	布里奇頓\t百了千當
blqf	波瀾起伏
blqm	不留情面
blqr	壁立千仞
blqu	博覽羣書
blru	髀裏肉生
blry	表裏如一
blud	表裏受敵
blse	布魯塞爾
bluh	表裏山河
blul	抱令守律
blus	不露聲色
blst	巴勒斯坦
blut	撥亂視聽
blsy	壁壘森嚴
blth	白裏透紅
blty	百裏挑一
blvj	不吝指教
blvk	波瀾壯闊
blwi	逼良爲娼
blwj	步履維艱\t表裏爲奸
blwu	白露爲霜
blwx	包羅萬象
blwy	別來無恙\t暴露無遺
blwz	不立文字
blxg	不良習慣
blxm	伯樂相馬
blxn	半老徐娘
blxw	玻璃纖維
blyd	不留餘地
blyf	白龍魚服
blys	不利因素
blyv	表裏一致
blyw	本來以爲
blzi	不良資產
blzs	暴戾恣睢
blzw	霸陵醉尉
blvy	不吝珠玉
bmbb	不明不白
bmbi	閉門不出
bmbv	不蔓不枝
bmbx	半夢半醒
bmby	背盟敗約
bmii	北面稱臣
bmim	擺明車馬
bmiu	病魔纏身
bmiy	白眉赤眼
bmdv	本末倒置
bmeh	不謀而合
bmeu	不默而生
bmgd	篳門閨竇
bmgg	病民蠱國
bmgs	筆墨官司
bmhg	閉門酣歌
bmhy	白旄黃鉞
bmjg	八面見光
bmjr	薄命佳人
bmju	拔毛濟世
bmlf	八面來風
bmll	八面玲瓏
bmlr	拔茅連茹\t拔毛連茹
bmmj	閉門覓句
bmnf	班門弄斧
bmnu	不瞞你說
bmny	北門南牙
bmqs	閉門卻掃
bmqv	不謀其政
bmud	八面受敵
bmuf	八面駛風
bmsg	閉門思過
bmuk	表面上看
bmul	不明事理
bmuu	白面書生
bmst	閉目塞聽
bmsy	北門鎖鑰
bmtx	閉門投轄
bmvd	不毛之地\t不牧之地
bmvv	百忙之中\t拔苗助長
bmvx	不明真相
bmvy	筆墨紙硯
bmwd	兵馬未動
bmwf	八面威風
bmwv	表面文章
bmwz	白馬王子
bmxi	寶馬香車
bmxx	表面現象
bmyi	八面瑩澈
bmyq	不名一錢
bmyt	八面圓通
bmyw	不名一文
bmyx	變名易姓
bmzi	閉門造車
bmvj	半面之交\t半面之舊
bmvl	八面張羅
bmvn	摽梅之年
bmzy	不鳴則已
bnbj	不年不節
bnbn	不男不女
bnby	百年不遇
bnif	百鳥朝鳳
bndj	百年大計
bnew	不怒而威
bnhh	百年好合
bnje	不念舊惡
bnjh	百念皆灰
bnki	不難看出
bnny	百年難遇
bnuf	搬弄是非
bnur	百年樹人
bnsz	八難三災
bnwd	暴虐無道
bnwq	不能瓦全
bnwu	不寧唯是
bnxf	笨鳥先飛
bnxl	百年偕老
bnxx	不難想象
bnzb	不能自拔
bnvb	百年之柄
bnvh	百年之好\t百年之後
bnvm	搏牛之虻
bnzw	不怒自威
bnzy	不能自已
bpbd	不偏不黨
bpbl	不破不立
bpbp	不怕不怕
bpby	不偏不倚
bpij	剝皮抽筋
bpjb	補偏救弊
bpjl	鞭辟近裏
bplj	杯盤狼藉
bpmz	賓朋滿座
bprl	鞭辟入裏
bpuv	抱朴守拙
bpyt	白跑一趟
bpyw	不怕一萬
bpzm	不平則鳴
bqau	不欺暗室
bqbi	不清不楚
bqbh	半青半黃
bqbn	不屈不撓
bqic	拔羣出萃
bqcm	不棄草昧
bqdq	補闕燈檠
bqdw	博洽多聞
bqdx	不確定性
bqem	不擒二毛
bqer	不期而然
bqev	不期而至
bqey	不期而遇
bqfm	避其鋒芒
bqfu	百犬吠聲
bqgy	薄情寡義
bqhb	不求回報
bqhi	步其後塵
bqhd	暴取豪奪
bqlv	鼻青臉腫
bqlx	屏氣斂息
bqmv	兵強馬壯
bqnu	屏氣凝神
bqqq	百巧千窮
bqrq	避其銳氣
bqsh	巴前算後
bquj	不切實際\t不求甚解
bqsy	版權所有
bquy	補闕拾遺
bqvg	比起這個\t貝闕珠宮
bqvq	不情之請
bqvy	霸權主義
bqwd	不求聞達
bqxg	不期修古
bqyg	不求有功
bqyj	冰清玉潔
bqyr	冰清玉潤
bqvh	跋前躓後
bqzl	不請自來
bqzy	不起作用
brbi	悖入悖出
brbs	勃然變色
brbx	倍日並行
brby	不仁不義\t不日不月
brdh	不然的話
brdn	勃然大怒
brdw	哺乳動物
breu	並日而食
brfl	勃然奮勵
brfu	不容分說\t髀肉復生
brgh	病入膏肓
brgq	不如歸去
brgs	病入骨髓
brgy	蔽日干雲
brhi	步人後塵
brhj	薄弱環節
brhu	不容忽視
brhx	不入虎穴
brjg	白日見鬼
brlb	傍人籬壁
brlg	不容樂觀
prmh	傍人門戶
brry	不如人意
brum	不辱使命
brut	白日昇天
bruy	不入時宜
brvg	步入正軌
brvh	不容置喙
brvu	不忍直視
brvy	不容置疑
brxj	兵戎相見
brxl	避讓賢路\t巴人下里
