he	他\t氦
adapter	適配器
adapters	適配器
adapting	適應
adaption	適應
adaptive	自適應的
adaptively	自適應地
adaptor	適配器
adaptors	適配器
adapts	適應
adaxial	近軸
adc	模數轉換器
attack damage carry	物理輸出核心
add	添加
add-on	附加
add-ons	附加
addax	旋角羚
added	添加的
addend	加數
addenda	附錄
addendum	附錄
adder	加法器
adders	加法器
addible	可加的
addict	成癮者
addicted	上癮的
addicting	令人上癮的
addiction	成癮
addictions	成癮
addictive	成癮的
addicts	成癮者
adding	添加
addis	亞的斯
addison	艾迪生
addition	加法
additional	額外的
additionally	此外
additions	添加物
additive	添加劑
additives	添加劑
additivity	可加性
addle	糊塗
addr	地址
address	地址
addressability	可尋址性
addressable	可尋址的
addressed	已尋址
addressee	收件人
addressees	收件人
addresser	發件人
addressers	發件人
addresses	地址
addressing	尋址
addressograph	地址印刷機
adds	添加
adduce	引證
adduced	已引證
adduces	引證
adducible	可引證的
adducing	引證中
adduct	內收
adducted	已內收
adducting	內收中
adduction	內收
adductor	內收肌
adducts	內收
adelaide	阿德萊德
adele	阿黛爾
adelia	阿德莉亞
aden	亞丁
adenine	腺嘌呤
adenoids	腺樣體
adenosine	腺苷
adept	熟練
adequacies	足夠性
adequacy	足夠性
adequate	足夠
adequately	足夠地
adguard	廣告攔截器
adguardhome	家庭廣告攔截
adhd	多動症
adhere	粘附
adhered	粘附的
adherence	粘附
adherent	粘附者
adherents	粘附者
adherer	粘附者
adherers	粘附者
adheres	粘附
adhering	粘附的
adhesion	粘附
adhesions	粘附物
adhesive	粘合劑
adhesives	粘合劑
adiabatic	絕熱的
adiabatically	絕熱地
adidas	阿迪達斯
adieu	再見
adieux	再見
adios	再見
adipex	阿迪派克斯
adipose	脂肪的
adiposity	肥胖
adirondack	阿迪朗達克
adirondacks	阿迪朗達克山脈
adit	入口
adj	形容詞
adjacency	鄰近
adjacent	相鄰的
adjectival	形容詞的
adjective	形容詞
adjectives	形容詞
adjoin	鄰接
adjoined	鄰接的
adjoining	毗鄰的
adjoins	鄰接
adjourn	休會
adjourned	休會的
adjourning	休會
adjournment	休會
adjourns	休會
adjudge	判決
adjudged	判決的
adjudges	判決
adjudging	判決
adjudicate	裁定
adjudicated	裁定的
adjudicates	裁定
adjudicating	裁定
adjudication	裁定
adjudications	裁決
adjudicative	裁決的
adjudicator	裁決者
adjunct	附屬
adjunctive	輔助的
adjuncts	附屬物
adjuration	懇求
adjure	懇求
adjured	懇求的
adjures	懇求
adjuring	懇求的
adjust	調整
adjustable	可調的
adjustably	可調地
adjusted	調整的
adjuster	調節器
adjusters	調節器
adjusting	調整的
adjustment	調整
adjustments	調整
adjustor	調節器
adjustors	調節器
adjusts	調整
adjutancy	副官職務
adjutant	副官
adjutants	副官
adkins	阿德金斯
adler	阿德勒
adlerian	阿德勒的
adm	阿德姆
adman	廣告人
admeasure	測量
admin	管理
adminicle	輔助
administer	執行
administerative	行政的
administered	已執行
administering	執行中
administerings	執行事務
administers	執行者
administrable	可管理的
administrate	管理
administration	行政
administrations	行政部門
administrative	行政的
administratively	行政上
administrator	管理員
administrators	管理員
administratrix	女管理員
admins	管理員
admirable	令人欽佩的
admirably	令人欽佩地
admiral	海軍上將
admirals	海軍上將
admiralship	海軍上將職位
admiralty	海軍部
admiration	欽佩
admirations	欽佩之情
admire	欽佩
admired	受欽佩的
admirer	仰慕者
admirers	仰慕者
admires	仰慕
admiring	仰慕的
admiringly	仰慕地
admissibility	可採納性
admissible	可採納的
admission	承認
admissions	錄取
admissive	容許的
admit	承認
admits	承認
admittance	進入許可
admitted	承認的
admittedly	公認地
admitter	承認者
admitters	承認者
admitting	承認
admix	混合
admixed	混合的
admixes	混合
admixing	混合
admixture	混合物
admonish	告誡
admonished	告誡的
admonishes	告誡
admonishing	告誡的
admonishment	告誡
admonishments	告誡
admonition	勸告
admonitions	告誡
admonitory	告誡的
ado	忙亂
adobe	土坯
adobe photoshop	圖像處理軟件
adolescence	青春期
adolescent	青少年
adolescents	青少年
adolph	阿道夫
adolphus	阿道弗斯
adonis	美少年
adopt	採用
adoptable	可採用的
adopted	被採用的
adopter	採用者
adopters	採用者
adopting	採用中
adoption	採用
adoptions	採用
adoptive	收養的
adopts	採用
adorable	可愛的
adorably	可愛地
adoration	崇拜
adore	崇拜
adored	被崇拜的
adorer	崇拜者
adores	崇拜
adoring	崇拜中
adorn	裝飾
adorned	裝飾的
adornment	裝飾
adornments	裝飾品
adorns	裝飾
adown	向下
adrenal	腎上腺的
adrenalin	腎上腺素
adrenaline	腎上腺素
adrenocorticotro	促腎上腺
adrenocorticotropic	促腎上腺的
adrian	阿德里安
adriatic	亞得里亞的
adrienne	阿德里安娜
adrift	漂浮的
adroit	靈巧的
adroitly	靈巧地
adroitness	靈巧
ads	廣告
adsense	廣告聯盟
adsl	非對稱數字用戶線路
asymmetric digital subscriber line	非對稱數字用戶線路
adsmith	廣告匠
adsorb	吸附
adsorbed	吸附的
adsorbing	吸附中
adsorbs	吸附
adsorption	吸附作用
adsorptive	吸附的
adspower	廣告力量
adsum	我在
adulate	諂媚
adulating	諂媚
adulation	諂媚
adulator	諂媚者
adulatory	諂媚的
adult	成人
adulterant	摻雜物
adulterate	摻假
adulterated	摻假的
adulterates	摻假
adulterating	摻假
adulteration	摻假
adulterer	姦夫
adulterers	姦夫
adulteress	姦婦
adulterous	通姦的
adulterously	通姦地
adultery	通姦
adulthood	成年
adults	成人
adult video	成人視頻
adumbral	陰暗的
adumbrate	預示
adumbrated	預示的
adumbrates	預示
adumbrating	預示
adumbration	預示
adumbrative	預示的
adurol	阿杜羅爾
adust	焦黑的
advance	前進
advanced	先進的
advanced risc machine	arm架構
advancement	進步
advancements	進步
advances	進展
advancing	推進
advantage	優勢
advantaged	有利的
advantageous	有利的
advantageously	有利地
advantages	優勢
advent	出現
adventist	基督復臨信徒
adventists	基督復臨信徒
adventitious	偶然的
adventure	冒險
adventured	冒險
adventurer	冒險家
adventurers	冒險家
adventures	冒險
adventuresome	愛冒險的
adventuress	女冒險家
adventuring	冒險
adventurous	冒險的
adverb	副詞
adverbial	狀語的
adverbs	副詞
adversaries	對手
adversary	對手
adversative	轉折
adverse	不利
adversely	不利地
adversities	逆境
adversity	逆境
advert	廣告
advertent	注意的
advertise	做廣告
advertised	廣告的
advertisement	廣告
advertisements	廣告
advertiser	廣告商
advertisers	廣告商
advertises	做廣告
advertising	廣告
adverts	廣告
advice	建議
advices	建議
advisability	可取性
advisable	可取的
advisably	明智地
advise	建議
advised	建議的
advisedly	深思熟慮地
advisee	被建議者
advisees	被建議者
advisement	建議
advisements	建議
adviser	顧問
advisers	顧問
advises	建議
advising	建議
advisor	顧問
advisories	建議
advisors	顧問
advisory	諮詢
advocacy	倡導
advocate	倡導者
advocated	倡導
advocates	倡導者
advocating	倡導
advocator	倡導者
advowson	聖職授予權
adware	廣告軟件
adynamic	無力的
adytum	內殿
adz	扁斧
aegean	愛琴海
aegis	庇護
aeneas	埃涅阿斯
aeneid	埃涅阿斯紀
aeolian	風成的
aeolus	埃俄羅斯
aeon	永世
aerate	充氣
aerated	充氣的
aerates	充氣
aerating	充氣
aeration	充氣
aerator	充氣器
aerators	充氣器
aerial	空中的
aerialist	高空雜技師
aerially	空中地
aerials	天線
aerie	鷹巢
aerification	充氣
aeriform	氣態的
aerify	使氣化
aero	航空的
aeroacoustic	氣動聲學的
aerobacter	氣桿菌
aerobatics	特技飛行
aerobe	需氧菌
aerobic	需氧的
aerobics	有氧運動
aerobiology	空氣生物學
aerodonetics	滑翔學
aerodrome	機場
aerodynamic	空氣動力學的
aerodynamicist	空氣動力學家
aerodynamics	空氣動力學
aeroembolism	氣栓
aerogram	航空郵簡
aerolite	隕石
aerologist	高空氣象學家
aerology	高空氣象學
aerometer	氣體比重計
aeron	航空的
aeronaut	飛行員
aeronautic	航空的
aeronautical	航空的
aeronautics	航空學
aeron chair	阿隆椅
aeropex	愛若飛
aerophare	航空燈塔
aeroplane	飛機
aeroport	機場
aerosmith	史密斯飛船
aerosol	氣溶膠
aerosolize	霧化
aerosols	氣溶膠
aerospace	航空航天
aerostat	浮空器
aery	高聳的
aeschylus	埃斯庫羅斯
aesculapius	阿斯克勒庇俄斯
aesop	伊索
aesopian	伊索式的
aesthete	唯美主義者
aesthetic	美學的
aesthetically	審美上
aesthetics	美學
aestival	夏季的
aestivate	夏眠
aether	以太
afar	遠處
afc	自動頻率控制
afeared	害怕的
aff	阿夫
affability	和藹
affable	親切
affably	親切地
affair	事件
affairs	事務
affect	影響
affectation	做作
affectations	做作
affected	做作的
affecting	動人的
affectingly	動人地
affection	喜愛
affectional	情感的
affectionate	深情的
affectionately	深情地
affections	感情
affective	情感的
affects	影響
affenpinscher	猴面犬
afferent	傳入的
affettuoso	深情的
affiance	訂婚
affianced	已訂婚的
affiant	宣誓人
affidavit	宣誓書
affidavits	宣誓書
affiliate	附屬
affiliated	附屬的
affiliates	附屬機構
affiliating	附屬
affiliation	隸屬
affiliations	隸屬關係
affinities	親和力
affinity	親和
affirm	確認
affirmable	可確認的
affirmance	確認
affirmation	肯定
affirmations	肯定
affirmative	肯定的
affirmatively	肯定地
affirmatory	肯定的
affirmed	確認的
affirming	確認
affirms	確認
affix	附加
affixed	附加的
affixes	附加物
affixing	附加
afflatus	靈感
afflict	折磨
afflicted	受折磨的
afflicting	折磨
affliction	苦難
afflictions	苦難
afflictive	痛苦的
afflicts	折磨
affluence	富裕
affluent	富裕的
afflux	湧入
afford	提供
affordable	實惠的
afforded	提供
affording	提供
affords	提供
afforest	造林
afforestation	造林
affray	鬥毆
affreightment	租船
affricate	塞擦音
affricates	塞擦音
affright	驚嚇
affront	冒犯
affronted	冒犯的
affronting	冒犯
affronts	冒犯
affusion	注水
afghan	阿富汗的
afghanistan	阿富汗
afghans	阿富汗人
aficionado	愛好者
afield	在野外
afire	燃燒的
aflame	燃燒的
afloat	漂浮的
aflutter	激動的
afoot	進行中的
afore	在之前
aforementioned	上述的
aforesaid	前述
aforethought	預謀
afoul	衝突
afraid	害怕
afreet	惡魔
afresh	重新
africa	非洲
african	非洲的
africanization	非洲化
africanizations	非洲化
africanize	使非洲化
africanized	非洲化的
africanizes	使非洲化
africanizing	使非洲化
africans	非洲人
afrikaans	南非荷蘭語
afrikaner	南非白人
afrikaners	南非白人
afro	爆炸頭
aft	船尾
after	之後
afterbirth	胎盤
afterburner	加力燃燒室
aftercare	術後護理
afterdeck	後甲板
aftereffect	後遺症
afterglow	餘暉
afterheat	餘熱
afterimage	殘像
afterlife	來世
afterlight	餘暉
aftermarket	售後市場
aftermath	後果
aftermost	最後面的
afternoon	下午
afternoons	下午
afterpiece	餘興節目
afterpulse	後脈衝
aftershock	餘震
aftershocks	餘震
aftershokz	韶音
aftershokz aeropex	韶音aeropex
aftertast	回味
aftertaste	回味
afterthought	事後想法
afterthoughts	事後想法
afterward	之後
afterwards	之後
afterword	後記
ag	銀
again	再次
against	反對
agama	鬣蜥
agamemnon	阿伽門農
agamogenesis	無性生殖
agape	大愛
agar	瓊脂
agaric	傘菌
agate	瑪瑙
agates	瑪瑙
agatha	阿加莎
agave	龍舌蘭
agaze	凝視
age	年齡
aged	年老的
agee	艾吉
ageing	老化
ageism	年齡歧視
ageless	永恆的
agelong	持久的
agencies	機構
agency	機構
agenda	議程
agendas	議程
agendum	議程
agent	代理人
agents	代理人
ager	老化者
ageratum	藿香薊
agers	老化者
ages	年齡
aggie	阿吉
aggies	阿吉
agglomerate	團聚
agglomerated	團聚的
agglomerates	團聚物
agglomerating	團聚中
agglomeration	團聚
agglutinant	粘合劑
agglutinate	粘合
agglutinated	粘合的
agglutinates	粘合
agglutinating	粘合
agglutination	凝集
agglutinative	粘着
agglutinin	凝集素
agglutinins	凝集素
aggrandize	誇大
aggrandizement	誇大
aggravate	加重
aggravated	加重的
aggravates	加重
aggravating	加重的
aggravation	加重
aggregate	總計
aggregated	總計的
aggregately	總計地
aggregates	總計
aggregating	總計
aggregation	聚合
aggregations	聚合
aggregative	聚合的
aggregator	聚合器
aggress	攻擊
aggression	侵略
aggressions	侵略
aggressive	侵略的
aggressively	侵略地
aggressiveness	侵略性
aggressor	侵略者
aggressors	侵略者
aggrieve	侵害
aggrieved	受害的
aggrieves	侵害
aggrieving	侵害中
aghast	驚駭的
artificial general intelligence	通用人工智能
agi	通用人工智能
agile	敏捷的
agilely	敏捷地
agility	敏捷
aging	老化
agism	年齡歧視
agitate	煽動
agitated	激動的
agitatedly	激動地
agitates	煽動
agitating	煽動中
agitation	激動
agitations	激動
agitato	激動地
agitator	煽動者
agitators	煽動者
agitprop	宣傳鼓動
agleam	閃亮的
aglet	鞋帶尖
agley	歪斜地
aglimmer	微光閃爍的
aglitter	閃閃發光的
aglow	發光的
agnes	艾格尼絲
agnew	阿格紐
agnostic	不可知論者
agnosticism	不可知論
agnostics	不可知論者
ago	以前
agog	渴望的
agon	競賽
agonal	瀕死的
agonic	無偏差的
agonies	痛苦
agonistic	好爭論的
agonize	折磨
agonized	痛苦的
agonizes	折磨
agonizing	令人痛苦的
agonizingly	痛苦地
agony	極度痛苦
agora	廣場
agoraphobia	廣場恐懼症
agorot	阿高洛
agouti	刺豚鼠
agraffe	搭扣
agrarian	農業的
agravic	失重的
agree	同意
agreeable	宜人的
agreeably	愉快地
agreed	同意的
agreeing	同意
agreement	協議
agreements	協議
agreer	同意者
