㑮	㑮\t𫝈
單	单
喲	哟
嗆	呛
嗇	啬
嗊	唝
嗎	吗
嗚	呜
嗩	唢
嗰	𠮶
嗶	哔
嗹	嗹\t𪡏
嘆	叹
嘍	喽
嘓	啯
嘔	呕
嘖	啧
嘗	尝
嘜	唛
嘩	哗
嘪	嘪\t𪡃
嘮	唠
嘯	啸
嘰	叽
嘳	嘳\t𪡞
嘵	哓
嘸	呒
嘺	嘺\t𪡀
嘽	啴
噁	恶\t𫫇
噅	噅\t𠯠
噓	嘘
噚	㖊
噝	咝
噞	噞\t𪡋
噠	哒
噥	哝
噦	哕
噯	嗳
噲	哙
噴	喷
噸	吨
噹	当\t𪠽
嚀	咛
嚇	吓
嚌	哜
嚐	尝
嚕	噜
嚙	啮
嚛	嚛\t𪠸
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
嚮	向
嚲	亸
嚳	喾
嚴	严
嚶	嘤
嚽	嚽\t𪢕
囀	啭
囁	嗫
囂	嚣
囃	囃\t𠱞
囅	冁
囈	呓
囉	啰
囌	苏
囑	嘱
囒	囒\t𪢠
囪	囱
圇	囵
國	国
圍	围
園	园
圓	圆
圖	图
團	团
圞	圞\t𪢮
坏	坏\t坯
垻	坝
埡	垭
埨	𫭢
埬	埬\t𪣆
埰	采
執	执
堃	堃\t坤
堅	坚
堊	垩
堖	垴
堚	堚\t𪣒
堝	埚
堯	尧
報	报
場	场
塊	块
塋	茔
塏	垲
塒	埘
塗	涂
塚	冢
塢	坞
塤	埙
塵	尘
塸	𫭟
塹	堑
塿	𪣻
墊	垫
墜	坠
墠	𫮃
墮	堕
墰	坛
墲	墲\t𪢸
墳	坟
墶	垯
墻	墙
墾	垦
壇	坛
壈	壈\t𡒄
壋	垱
壎	埙
壓	压
壗	𡋤
壘	垒
壙	圹
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
壣	壣\t𪤚
壩	坝
壪	塆
壯	壮
壺	壶
壼	壸
壽	寿
夠	够
夢	梦
夥	伙\t夥
夾	夹
奐	奂
奧	奥
奩	奁
奪	夺
奬	奖
奮	奋
奼	姹
妝	妆
姍	姗
姦	奸
娙	𫰛
娛	娱
婁	娄
婡	婡\t𫝫
婦	妇
婭	娅
媈	媈\t𫝨
媧	娲
媯	妫
媰	㛀
媼	媪
媽	妈
嫋	袅
嫗	妪
嫵	妩
嫺	娴
嫻	娴
嫿	婳
嬀	妫
嬃	媭
嬇	嬇\t𫝬
嬈	娆
嬋	婵
嬌	娇
嬙	嫱
嬡	嫒
嬣	嬣\t𪥰
嬤	嬷
嬦	嬦\t𫝩
嬪	嫔
嬰	婴
嬸	婶
嬻	嬻\t𪥿
孃	娘
孄	孄\t𫝮
孆	孆\t𫝭
孇	孇\t𪥫
孋	㛤
孌	娈
孎	孎\t𡠟
孫	孙
學	学
孻	𡥧
孾	孾\t𪧀
孿	孪
宮	宫
寀	采
寠	寠\t𪧘
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
屩	屩\t𪨗
屬	属
岡	冈
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崑	昆
崗	岗
崙	仑\t𪨧
崢	峥
崬	岽
嵐	岚
嵗	岁
嵼	嵼\t𡶴
嵽	𫶇
嵾	㟥
嶁	嵝
嶄	崭
嶇	岖
嶈	嶈\t𡺃
嶔	嵚
嶗	崂
嶘	嶘\t𡺄
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶸	嵘
嶹	嶹\t𫝵
嶺	岭
嶼	屿
嶽	岳
巊	巊\t𪩎
巋	岿
巒	峦
巔	巅
巖	岩
巗	巗\t𪨷
巘	𪩘
巰	巯
巹	卺
帥	帅
師	师
帳	帐
帶	带
幀	帧
幃	帏
幓	㡎
幗	帼
幘	帻
幝	幝\t𪩷
幟	帜
幣	币
幩	幩\t𪩸
幫	帮
幬	帱
幷	并
幹	干
幾	几
庫	库
廁	厕
廂	厢
廄	厩
廈	厦
廎	庼
廕	荫
廚	厨
廝	厮
廞	𫷷
廟	庙
廠	厂
廡	庑
廢	废
廣	广
廧	廧\t𪪞
廩	廪
廬	庐\t𪪏
廳	厅
弒	弑
弔	吊
弳	弪
張	张
強	强
彃	彃\t𪪼
彄	𫸩
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彠	彟
彥	彦
彫	雕
彲	彨
彷	彷\t仿
彿	佛
後	后
徑	径
從	从
徠	徕
復	复
徵	征\t徵
徹	彻
徿	徿\t𪫌
恆	恒
恥	耻
悅	悦
悞	悮
悵	怅
悶	闷
悽	凄
惡	恶
惱	恼
惲	恽
惻	恻
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
愻	愻\t𢙏
愾	忾
慄	栗
態	态
慍	愠
慘	惨
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慶	庆
慺	㥪
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憒	愦
憖	慭
憚	惮
憢	憢\t𢙒
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
憸	憸\t𪫺
憹	憹\t𢙐
懀	懀\t𢙓
懇	恳
應	应
懌	怿
懍	懔
懎	懎\t𢠁
懞	蒙
懟	怼
懣	懑
懤	㤽
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懾	慑
戀	恋
戇	戆
戔	戋
戧	戗
戩	戬
戰	战\t𢧐
戱	戯
戲	戏
戶	户
扞	捍\t扞
拋	抛
拚	拼
挩	捝
挱	挲
挾	挟
捨	舍
捫	扪
捱	挨
捲	卷
掃	扫
掄	抡
掆	㧏
掗	挜
掙	挣
掚	掚\t𪭵
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
揯	搄
損	损
搖	摇
搗	捣
搧	扇
搵	揾
搶	抢
摋	摋\t𢫬
摐	摐\t𪭢
摑	掴
摜	掼
摟	搂
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
撊	撊\t𪭾
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
撧	撧\t𪮖
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
據	据
擟	擟\t𪭧
擠	挤
擡	抬
擣	捣\t𢭏
擫	擫\t𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
攋	攋\t𪮶
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攪	搅
攬	揽
敎	教
敓	敚
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
斅	斅\t𢽾
斆	敩
斕	斓
斬	斩
斷	断
斸	斸\t𣃁
於	于\t於
旂	旗
旣	既
昇	升\t昇
時	时
晉	晋
晛	𬀪
晝	昼
暈	晕
暉	晖
暐	𬀩
暘	旸
暢	畅
暫	暂
曄	晔
曆	历
曇	昙
曉	晓
曊	曊\t𪰶
曏	向
曖	暧
曠	旷
曥	𣆐
曨	昽
曬	晒
書	书
會	会
朥	𦛨
朧	胧
朮	术
東	东
枴	拐
柵	栅
柺	拐
査	查
桱	𣐕
桿	杆
梔	栀
梖	梖\t𪱷
梘	枧
梜	𬂩
條	条
梟	枭
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棲	栖
棶	梾
椀	椀\t碗
椏	桠\t丫
椲	㭏
楇	楇\t𣒌
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
槫	槫\t𣏢
槮	椮
槳	桨
槶	椢
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樠	樠\t𣗊
樢	㭤
樣	样
樤	樤\t𣔌
樧	榝
樫	㭴
樳	桪
樸	朴
樹	树
樺	桦
樿	椫
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
檭	檭\t𣘴
檮	梼
檯	台
檳	槟
檵	檵\t𪲛
檸	柠
檻	槛
櫃	柜
櫅	櫅\t𪲎
櫍	𬃊
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫠	櫠\t𪲮
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欅	榉
欇	欇\t𪳍
權	权
欍	欍\t𣐤
欏	椤
欐	欐\t𪲔
欑	欑\t𪴙
欒	栾
欓	𣗋
欖	榄
欘	欘\t𣚚
欞	棂
欽	钦
歎	叹
歐	欧
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
殢	殢\t𣨼
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毆	殴
毊	毊\t𪵑
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
氭	氭\t𣱝
氳	氲
氾	泛\t氾
汎	泛
汙	污
決	决
沈	沈\t沉
沒	没
沖	冲
況	况
泝	溯
洩	泄
洶	汹
浹	浃
浿	𬇙
涇	泾
涗	涚
涼	凉
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
淼	淼\t渺
渙	涣
減	减
渢	沨
渦	涡
測	测
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
溈	沩
準	准
溝	沟
溡	溡\t𪶄
溫	温
溮	浉
溳	涢
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漊	溇
漍	𬇹
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潑	泼
潔	洁
潕	𣲘
潙	沩
潚	㴋
潛	潜
潣	潣\t𫞗
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澂	澂\t澄
澅	澅\t𣶩
澆	浇
澇	涝
澐	沄
澗	涧
澠	渑
澤	泽
澦	滪
澩	泶
澫	𬇕
澬	澬\t𫞚
澮	浍
澱	淀
澾	㳠
濁	浊
濃	浓
濄	㳡
濆	𣸣
濕	湿
濘	泞
濚	溁
濛	蒙
濜	浕
濟	济
濤	涛
濧	㳔
濫	滥
濰	潍
濱	滨
濺	溅
濼	泺
濾	滤
濿	濿\t𪵱
瀂	澛
瀃	瀃\t𣽷
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	沈\t渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥\t㳽
瀲	潋
瀾	澜
灃	沣
灄	滠
灍	灍\t𫞝
灑	洒
灒	𪷽
灕	漓
灘	滩
灙	𣺼
灝	灏
灡	㳕
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
為	为
烏	乌
烴	烃
無	无
煇	煇\t𪸩
煉	炼
煒	炜
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
煱	㶽
熂	熂\t𪸕
熅	煴
熉	熉\t𤈶
熌	熌\t𤇄
熒	荧
熓	熓\t𤆡
熗	炝
熚	熚\t𤇹
熡	熡\t𤋏
熰	𬉼
熱	热
熲	颎
熾	炽
燀	𬊤
燁	烨
燈	灯
燉	炖
燒	烧
燖	𬊈
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燶	㶶
燻	熏
燼	烬
燾	焘
爃	爃\t𫞡
爄	爄\t𤇃
爇	爇\t𦶟
爍	烁
爐	炉
爖	爖\t𤇭
爛	烂
爥	爥\t𪹳
爧	爧\t𫞠
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牘	牍
牴	抵
牽	牵
犇	犇\t奔
犖	荦
犛	牦
犞	犞\t𪺭
犢	犊
犧	牺
狀	状
狹	狭
狽	狈
猌	猌\t𪺽
猙	狰
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獊	獊\t𪺷
獎	奖
獨	独
獩	獩\t𤞃
獪	狯
獫	猃
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
玁	玁\t𤞤
珼	珼\t𫞥
現	现
琱	雕
琺	珐
琿	珲
瑋	玮
瑒	玚
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑲	玱
瑻	瑻\t𪻲
瑽	瑽\t𪻐
璉	琏
璊	𫞩
璕	𬍤
璗	𬍡
璝	璝\t𪻺
璡	琎
璣	玑
璦	瑷
璫	珰
璯	㻅
環	环
璵	玙
璸	瑸
璼	璼\t𫞨
璽	玺
璾	璾\t𫞦
璿	璇
瓄	瓄\t𪻨
瓅	𬍛
瓊	琼
瓏	珑
瓔	璎
瓕	瓕\t𤦀
瓚	瓒
瓛	𤩽
甌	瓯
甕	瓮
產	产
産	产
甦	甦\t苏
甯	甯\t宁
畝	亩
畢	毕
畫	画\t划
異	异
畵	画
當	当
畼	畼\t𪽈
疇	畴
疊	叠
痙	痉
痠	酸
痮	痮\t𪽪
痾	疴
瘂	痖
瘋	疯
瘍	疡
瘓	痪
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
瘱	瘱\t𪽷
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癆	痨
癇	痫
癉	瘅
癐	癐\t𤶊
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
皟	皟\t𤾀
皰	疱
皸	皲
皺	皱
盃	杯
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盨	盨\t𪾔
盪	荡
眝	眝\t𪾣
眞	真
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
瞘	眍
瞜	䁖
瞞	瞒
瞤	瞤\t𥆧
瞭	瞭\t了
瞶	瞆
瞼	睑
矇	蒙
矉	矉\t𪾸
矑	矑\t𪾦
矓	眬
矚	瞩
矯	矫
硃	朱
硜	硁
硤	硖
硨	砗
硯	砚
碕	埼
碙	碙\t𥐻
碩	硕
碭	砀
碸	砜
確	确
碼	码
碽	䂵
磑	硙
磚	砖
磠	硵
磣	碜
磧	碛
磯	矶
磽	硗
磾	䃅
礄	硚
礆	礆\t硷
礎	础
礐	𬒈
礒	礒\t𥐟
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礮	礮\t𪿫
礱	砻
祇	祇\t只
祕	秘\t祕
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
稅	税
稈	秆
稏	䅉
稜	棱
稟	禀
種	种
稱	称
穀	谷
穇	䅟
穌	稣
積	积
穎	颖
穠	秾
穡	穑
穢	秽
穩	稳
穫	获
穭	穞
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竚	竚\t𥩟
竪	竖
竱	竱\t𫁟
競	竞
筆	笔
筍	笋
筦	筦\t管
筧	笕
筴	䇲
箇	个
箋	笺
箏	筝
箚	札\t劄
節	节
範	范
築	筑
篋	箧
篔	筼
篘	篘\t𥬠
篠	筿
篢	𬕂
篤	笃
篩	筛
篳	筚
篸	𥮾
簀	箦
簂	簂\t𫂆
簍	篓
簑	蓑
簞	箪
簡	简
簢	簢\t𫂃
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籅	𥫣
籋	籋\t𥬞
籌	筹
籔	䉤
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
籤	签
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粵	粤
糉	粽
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
糺	糺\t𫄙
糾	纠
紀	纪
紂	纣
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紞	𬘘
紟	紟\t𫄛
紡	纺
紬	䌷
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
絁	絁\t𫄟
終	终
絃	弦
組	组
絅	䌹
絆	绊
絍	絍\t𫟃
絎	绗
結	结
絕	绝
絙	絙\t𫄠
絛	绦
絜	絜\t洁
絝	绔
絞	绞
絡	络
絢	绚
絥	絥\t𫄢
給	给
絧	絧\t𫄡
絨	绒
絪	𬘡
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
絺	𫄨
綀	綀\t𦈌
綁	绑
綃	绡
綄	𬘫
綆	绠
綇	綇\t𦈋
綈	绨
綉	绣
綋	綋\t𫟄
綌	绤
綎	𬘩
綏	绥
綐	䌼
綑	捆
經	经
綖	𫄧
綜	综
綝	𬘭
綞	缍
綟	綟\t𫄫
綠	绿
綡	𫟅
綢	绸
綣	绻
綧	𬘯
綪	𬘬
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩\t䌽
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緍	緍\t𦈏
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线\t缐
緝	缉
緞	缎
緟	緟\t𫟆
締	缔
緡	缗
緣	缘
緤	緤\t𫄬
緦	缌
編	编
緩	缓
緬	缅
緮	緮\t𫄭
緯	纬
緰	緰\t𦈕
緱	缑
緲	缈
練	练
緶	缏
緷	緷\t𦈉
緸	緸\t𦈑
緹	缇
緻	致
緼	缊
縈	萦
縉	缙
縊	缢
縋	缒
縍	縍\t𫄰
縎	縎\t𦈔
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縬	縬\t𦈚
縭	缡
縮	缩
縯	𬙂
縰	縰\t𫄳
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縸	縸\t𫄲
縹	缥
縺	縺\t𦈐
總	总
績	绩
繂	繂\t𫄴
繃	绷
繅	缫
繆	缪
繈	繈\t𫄶
繏	繏\t𦈝
繐	繐\t𰬸
繒	缯
繓	繓\t𦈛
織	织
繕	缮
繚	缭
繞	绕
繟	繟\t𦈎
繡	绣
繢	缋
繨	繨\t𫄤
繩	绳
繪	绘
繫	系
繬	繬\t𫄱
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繶	𫄷
繷	繷\t𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
纆	𬙊
纇	颣
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纕	𬙋
纖	纤
纗	纗\t𫄹
纘	缵
纚	纚\t𫄥
纜	缆
缽	钵
罃	䓨
罈	坛
罌	罂
罎	坛
罰	罚
罵	骂
罷	罢
羅	罗
羆	罴
羈	羁
羋	芈
羣	群
羥	羟
羨	羡
義	义
羵	羵\t𫅗
羶	膻
習	习
翫	玩
翬	翚
翹	翘
翽	翙
耑	耑\t专
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聻	聻\t𫆏
聽	听
聾	聋
肅	肃
脅	胁
脈	脉
脛	胫
脣	唇
脥	脥\t𣍰
脩	修\t脩
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
腪	腪\t𣍯
腫	肿
腳	脚
腸	肠
膃	腽
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膩	腻
膹	膹\t𪱥
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
臗	臗\t𣎑
臘	腊
臚	胪
